Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"rastar,-ferrari-458,-speciale-a,-rc-car,-red,-1:24,-6+-years","Rastar, Ferrari 458, Speciale A, RC Car, Red, 1:24, 6+ years",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751308930,11.46,31.86,3,https://www.mewse.ro/images/produse/rastar-ferrari-458-speciale-a-rc-car-red-1-24-6-years-1680781154.jpg
"rastar,-bugatti-veyron,-16.4-grand-sport-vitesse,-rc-car,-orange,-1:24,-6+-years","Rastar, Bugatti Veyron, 16.4 Grand Sport Vitesse, RC Car, Orange, 1:24, 6+ years",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751307568,11.45,31.83,5,https://www.mewse.ro/images/produse/rastar-bugatti-veyron-16-4-grand-sport-vitesse-rc-car-orange-1-24-3-years-1680780601.jpg
"rastar,-audi-r8,-rc-car,-white,-1:24","Rastar, Audi R8, RC Car, White, 1:24",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751306165,11.80,29.57,7,https://www.mewse.ro/images/produse/rastar-audi-r8-rc-car-white-1-24-1678177122.png
"rastar,-ferrari-559-gto,-rc-car,-red/black,-1:24","Rastar, Ferrari 559 GTO, RC Car, Red/Black, 1:24",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751346406,9.23,25.66,5,https://www.mewse.ro/images/produse/rastar-ferrari-559-gto-rc-car-red-black-1-24-1678179478.jpg
"rastar,-mitsubishi-pajero,-jeep,-rc-car,-red,-1:18","Rastar, Mitsubishi Pajero, Jeep, RC Car, Red, 1:18",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751306189,19.11,53.13,2,https://www.mewse.ro/images/produse/rastar-mitsubishi-pajero-jeep-rc-car-red-1-18--1677674639.jpg
"rastar,--audi-r8-lms,-rc-car,-1:18","Rastar,  Audi R8 Lms, RC Car, 1:18",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,0043|6930751306172,22.24,40.00,1,https://www.mewse.ro/images/produse/rastar-audi-r8-lms-rc-car-1-18-1684244817.jpg
"rastar,-audi-r8-2015-version,-rc-car,-1:14","Rastar, Audi R8 2015 Version, RC Car, 1:14",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751310421,21.25,40.00,1,https://www.mewse.ro/images/produse/rastar-audi-r8-2015-version-rc-car-1-14-1684244700.jpg
"rastar,-bmw-m3-gt2,-rc-car,-1:24,-6+-years","Rastar, Bmw M3 Gt2, RC Car, 1:24, 6+ years",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751306974,12.50,40.00,10,https://www.mewse.ro/images/produse/rastar-bmw-m3-gt2-rc-car-1-24-6-years-1684244441.jpg
"rastar,--mercedes-amg-gt-3,-rc-car,-1:14","Rastar,  Mercedes Amg Gt 3, RC Car, 1:14",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751309951,22.71,40.00,1,https://www.mewse.ro/images/produse/rastar-mercedes-amg-gt-3-rc-car-1-14-1684244760.jpg
"rastar,-porsche-918-spyder,-rc-car,-1:14","Rastar, Porsche 918 Spyder, RC Car, 1:14",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751307766,21.57,40.00,2,https://www.mewse.ro/images/produse/rastar-porsche-918-spyder-rc-car-1-14-1684245111.jpg
