Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"benetton,-united-colors-of-benetton,-sunglasses,-metallic-grey-wraparound,-unisex","Benetton, United Colors of Benetton, Sunglasses, Metallic Grey Wraparound, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071267,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-brown-wraparound,-unisex","Benetton, United Colors of Benetton, Sunglasses, Brown Wraparound, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071281,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-red-cat`s-eye,-unisex","Benetton, United Colors of Benetton, Sunglasses, Red Cat`s Eye, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071304,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-black-rectangle,-unisex","Benetton, United Colors of Benetton, Sunglasses, Black Rectangle, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071311,5.47,45.00,10,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-blue-wayfarer,-unisex","Benetton, United Colors of Benetton, Sunglasses, Blue Wayfarer, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071328,4.98,45.00,10,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-bronze-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Bronze Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071342,4.98,45.00,12,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-green-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Green Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071359,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-black-metal-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Black Metal Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071137,4.98,45.00,10,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-red-wraparound,-unisex","Benetton, United Colors of Benetton, Sunglasses, Red Wraparound, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071274,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-blue-wraparound,-unisex","Benetton, United Colors of Benetton, Sunglasses, Blue Wraparound, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071298,4.98,45.00,10,https://www.mewse.ro/images/produse/
