Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"darevie,-lady-pro,-sports-women-synthetic-leggings,-black","Darevie, Lady Pro, Sports Women Synthetic Leggings, Black",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,30000000000015,17.51,52.18,3,https://www.mewse.ro/images/produse/darevie-lady-pro-pants-dvp041w-for-women-1678385525.jpg
"darevie,-darevie,-thermal,-sports-men-synthetic-jacket,-dvj038","Darevie, Darevie, Thermal, Sports Men Synthetic Jacket, DVJ038",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000004,28.03,83.49,2,https://www.mewse.ro/images/produse/darevie-darevie-thermal-jacket-dvj038-for-men-1678387857.jpg
"darevie,-cycling-3d-pad,-sports-men-synthetic-leggings,-black","Darevie, Cycling 3D Pad, Sports Men Synthetic Leggings, Black",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000013,14.48,43.14,2,https://www.mewse.ro/images/produse/darevie-darevie-thermal-pants-dvp042-for-men-1678388540.jpg
"darevie,-winter-windproof-cycling,-thermal,-sports-men-synthetic-jacket,-dvj050,-camouflage","Darevie, Winter Windproof Cycling, Thermal, Sports Men Synthetic Jacket, DVJ050, Camouflage",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000003,28.03,83.49,1,https://www.mewse.ro/images/produse/darevie-darevie-thermal-jacket-dvj050-for-men-1678386491.jpg
"darevie,-darevie,-thermal,-sports-men-synthetic-jacket,-dvj052","Darevie, Darevie, Thermal, Sports Men Synthetic Jacket, DVJ052",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000008,10.71,31.90,1,https://www.mewse.ro/images/produse/darevie-train-jersey-thermal-jacket-dvj052-for-men-1678386004.jpg
"darevie,-darevie,-bib,-sports-men-synthetic-leggings,-black","Darevie, Darevie, BIB, Sports Men Synthetic Leggings, Black",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000011,18.69,55.66,1,https://www.mewse.ro/images/produse/darevie-darevie-bib-pants-dvp010-for-men-1678385024.jpg
"darevie,-darevie,-for-cycling,-synthetic-gloves,-black/green,-dvg003,-unisex","Darevie, Darevie, For Cycling, Synthetic Gloves, Black/Green, DVG003, Unisex",<p>Darevie - Regular</p>,Darevie,Clothing / Acessories,"Unisex, Regular, Acessories",TRUE,Title,Default Title,30000000000020,7.01,25.00,4,https://www.mewse.ro/images/produse/
"darevie,-darevie,-for-cycling,-synthetic-gloves,-blue/black,-dvg003,-unisex","Darevie, Darevie, For Cycling, Synthetic Gloves, Blue/Black, DVG003, Unisex",<p>Darevie - Regular</p>,Darevie,Clothing / Acessories,"Unisex, Regular, Acessories",TRUE,Title,Default Title,30000000000021,7.01,25.00,4,https://www.mewse.ro/images/produse/
"darevie,-wind-and-waterproof-cycling,-waterproof,-textile-shoe-covers,-for-men","Darevie, Wind and Waterproof Cycling, Waterproof, Textile Shoe Covers, For Men",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000018,7.47,22.00,3,https://www.mewse.ro/images/produse/
"darevie,-darevie,-for-cycling,-synthetic-gloves,-red/black,-dvg003,-unisex","Darevie, Darevie, For Cycling, Synthetic Gloves, Red/Black, DVG003, Unisex",<p>Darevie - Regular</p>,Darevie,Clothing / Acessories,"Unisex, Regular, Acessories",TRUE,Title,Default Title,30000000000019,7.01,25.00,6,https://www.mewse.ro/images/produse/
"darevie,-darevie,-long,-textile-socks,-pink/blue,-dva013,-unisex","Darevie, Darevie, Long, Textile Socks, Pink/Blue, DVA013, Unisex",<p>Darevie - Regular</p>,Darevie,Clothing / Acessories,"Unisex, Regular, Acessories",TRUE,Title,Default Title,30000000000025,3.06,12.00,4,https://www.mewse.ro/images/produse/darevie-darevie-socks-pink-blue-unisex-1684133444.png
"darevie,-darevie,-for-cycling,-sports-men-synthetic-leg-warmer,-dva007,-black,-for-men","Darevie, Darevie, For Cycling, Sports Men Synthetic Leg Warmer, DVA007, Black, For Men",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000017,7.94,19.00,3,https://www.mewse.ro/images/produse/darevie-for-cycling-darevie-sports-leg-warmer-dva007-black-for-men-1684133703.jpg
"darevie,-for-cycling,-darevie,-sports-women-synthetic-arm-warmer,-dva006,-black","Darevie, For Cycling, Darevie, Sports Women Synthetic Arm Warmer, DVA006, Black",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,30000000000016,4.67,12.00,6,https://www.mewse.ro/images/produse/darevie-for-cycling-darevie-sports-arm-warmer-dva006-black-for-women-1684133877.jpg
"under-armour,-under-armour,-short-sleeve,-sports-women-synthetic-strappy-vest,-for-women","Under Armour, Under Armour, Short Sleeve, Sports Women Synthetic Strappy Vest, For Women",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,888376719494,31.44,50.00,2,https://www.mewse.ro/images/produse/
"under-armour,-under-armour,-short-sleeve,-sports-women-synthetic-strappy-vest,-for-women,-size-s","Under Armour, Under Armour, Short Sleeve, Sports Women Synthetic Strappy Vest, For Women, Size S",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,888376719487,15.72,50.00,1,https://www.mewse.ro/images/produse/
"under-armour,-all-season-gear,-short-sleeve,-sports-women-synthetic-strappy-vest,-for-women,-size-xs","Under Armour, All Season Gear, Short Sleeve, Sports Women Synthetic Strappy Vest, For Women, Size XS",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,887547917868,6.87,50.00,1,https://www.mewse.ro/images/produse/
