Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"adidas,-pure-game,-eau-de-toilette,-for-men,-100-ml","Adidas, Pure Game, Eau De Toilette, For Men, 100 ml",<p>Adidas - Regular</p>,Adidas,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,3607345216805,4.78,11.00,296,https://www.mewse.ro/images/produse/adidas-pure-game-eau-de-toilette-for-men-100-ml-1681195644.jpg
"adidas,-fun-sensations,-eau-de-toilette,-for-women,-30-ml","Adidas, Fun Sensations, Eau De Toilette, For Women, 30 ml",<p>Adidas - Regular</p>,Adidas,Fragrance / Perfumes,"For Women, Regular, Perfumes",TRUE,Title,Default Title,3607347419907,4.49,13.00,130,https://www.mewse.ro/images/produse/adidas-fun-sensations-eau-de-toilette-for-women-30-ml-1680343967.jpg
"adidas,-get-ready!,-eau-de-toilette,-for-women,-30-ml","Adidas, Get Ready!, Eau De Toilette, For Women, 30 ml",<p>Adidas - Regular</p>,Adidas,Fragrance / Perfumes,"For Women, Regular, Perfumes",TRUE,Title,Default Title,3607349795955,3.24,11.00,110,https://www.mewse.ro/images/produse/adidas-get-ready-eau-de-toilette-for-women-30-ml-1681582770.jpg
"adidas,-pure-game,-eau-de-toilette,-for-men,-100-ml-*tester","Adidas, Pure Game, Eau De Toilette, For Men, 100 ml *Tester",<p>Adidas - Tester</p>,Adidas,Fragrance / Perfumes,"For Men, Tester, Perfumes",TRUE,Title,Default Title,99000000008001,2.19,11.00,2,https://www.mewse.ro/images/produse/adidas-pure-game-eau-de-toilette-for-men-100-ml-tester-1687616673.jpg
"ajmal,-shadow,-eau-de-parfum,-for-women,-75-ml-*tester","Ajmal, Shadow, Eau De Parfum, For Women, 75 ml *Tester",<p>Ajmal - Tester</p>,Ajmal,Fragrance / Perfumes,"For Women, Tester, Perfumes",TRUE,Title,Default Title,99000000006447,12.29,38.40,1,https://www.mewse.ro/images/produse/ajmal-shadow-eau-de-parfum-for-women-75-ml-tester-1738583146.jpg
"ajmal,-rose-wood,-eau-de-parfum,-for-women,-100-ml-*tester","Ajmal, Rose Wood, Eau De Parfum, For Women, 100 ml *Tester",<p>Ajmal - Tester</p>,Ajmal,Fragrance / Perfumes,"For Women, Tester, Perfumes",TRUE,Title,Default Title,99000000006446,78.43,245.09,1,https://www.mewse.ro/images/produse/ajmal-rose-wood-eau-de-parfum-for-women-100-ml-1738583236.jpg
"ajmal,-hawaiian-breeze,-eau-de-parfum,-for-women,-75-ml-*tester","Ajmal, Hawaiian Breeze, Eau De Parfum, For Women, 75 ml *Tester",<p>Ajmal - Tester</p>,Ajmal,Fragrance / Perfumes,"For Women, Tester, Perfumes",TRUE,Title,Default Title,99000000006445,12.29,38.40,1,https://www.mewse.ro/images/produse/ajmal-hawaiian-breeze-eau-de-parfum-for-women-75-ml-1738583426.jpg
"ajmal,-hatkora-wood,-eau-de-parfum,-unisex,-100-ml-*tester","Ajmal, Hatkora Wood, Eau De Parfum, Unisex, 100 ml *Tester",<p>Ajmal - Tester</p>,Ajmal,Fragrance / Perfumes,"Unisex, Tester, Perfumes",TRUE,Title,Default Title,99000000006444,78.43,245.09,1,https://www.mewse.ro/images/produse/ajmal-hatkora-wood-eau-de-parfum-unisex-100-ml-1738583473.jpg
"ajmal,-amaze-her,-eau-de-parfum,-for-women,-75-ml","Ajmal, Amaze Her, Eau De Parfum, For Women, 75 ml",<p>Ajmal - Regular</p>,Ajmal,Fragrance / Perfumes,"For Women, Regular, Perfumes",TRUE,Title,Default Title,0043|6293708015634,17.90,60.80,9,https://www.mewse.ro/images/produse/ajmal-amaze-her-eau-de-parfum-for-women-75-ml-1734943393.jpg
"ajmal,-amaze-him,-eau-de-parfum,-for-men,-75-ml","Ajmal, Amaze Him, Eau De Parfum, For Men, 75 ml",<p>Ajmal - Regular</p>,Ajmal,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,0043|6293708015627,17.90,60.10,44,https://www.mewse.ro/images/produse/ajmal-amaze-him-eau-de-parfum-for-men-75-ml-1734943531.jpg
"ajmal,-viva-viola,-eau-de-parfum,-for-women,-75-ml","Ajmal, Viva Viola, Eau De Parfum, For Women, 75 ml",<p>Ajmal - Regular</p>,Ajmal,Fragrance / Perfumes,"For Women, Regular, Perfumes",TRUE,Title,Default Title,0043|6293708010967,13.43,38.40,10,https://www.mewse.ro/images/produse/ajmal-viva-viola-eau-de-parfum-for-women-75-ml-1734940494.jpg
"ajmal,-neutron,-eau-de-parfum,-for-men,-100-ml","Ajmal, Neutron, Eau De Parfum, For Men, 100 ml",<p>Ajmal - Regular</p>,Ajmal,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,0043|6293708001484,8.99,21.10,6,https://www.mewse.ro/images/produse/ajmal-neutron-eau-de-parfum-for-men-100-ml-1734940728.jpg
"ajmal,-vision,-eau-de-parfum,-for-men,-100-ml","Ajmal, Vision, Eau De Parfum, For Men, 100 ml",<p>Ajmal - Regular</p>,Ajmal,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,0043|6293708002078,10.59,21.10,38,https://www.mewse.ro/images/produse/ajmal-vision-eau-de-parfum-for-men-100-ml-1734941656.jpg
